Laptops_Name,Discounted_Price,Actual_Prices,Discount_offered,Processor,RAM,Operating System
Acer,"₹43,990","₹51,999",15% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹16,990","₹34,990",51% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ASUS,"₹28,990","₹44,990",35% off,Intel Core i3 Processor (11th Gen),256 GB SSD,64 bit Windows 11 Operating System
HP,"₹37,400","₹56,260",33% off,Intel Core i3 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
SAMSUNG,"₹44,990","₹82,990",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹27,990","₹39,157",28% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹35,390","₹52,987",33% off,AMD Athlon Dual Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹1,12,990","₹1,44,999",22% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
DELL,"₹31,990","₹45,999",30% off,Intel Core i3 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹29,990","₹60,999",50% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹65,990","₹85,999",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹12,990","₹34,990",62% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Lenovo,"₹36,990","₹55,090",32% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
ZEBRONICS,"₹37,990","₹64,990",41% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹37,949","₹54,552",30% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
DELL,"₹42,990","₹56,340",23% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹18,990","₹34,990",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹41,990","₹51,999",19% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
HP,"₹24,890","₹38,000",34% off,AMD Ryzen 3 Dual Core Processor,512 GB SSD,64 bit Windows 11 Operating System
HP,"₹25,990","₹44,911",42% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹99,990","₹1,29,999",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹52,990","₹61,023",13% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹21,380","₹42,032",49% off,AMD Athlon Dual Core Processor,512 GB SSD,Windows 11 Operating System
ASUS,"₹34,990","₹58,990",40% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹39,990","₹58,990",50% off,Intel Celeron Dual Core Processor (4th Gen),256 GB SSD,64 bit DOS Operating System
ASUS,"₹21,380","₹47,375",42% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹43,990","₹51,999",35% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹16,990","₹34,990",33% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
MSI,"₹44,990","₹70,990",32% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Apple,"₹22,990","₹39,990",32% off,Apple M1 Processor,256 GB SSD,Mac OS Operating System
Acer,"₹1,12,990","₹1,44,999",54% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹65,990","₹85,999",15% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹74,990","₹99,900",51% off,Intel Celeron Quad Core Processor (11th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹31,990","₹47,490",36% off,"Display: 13.5"" Ultra HD 2K 3:2 touchscreen display",2 in 1 Tablet Notebook,Graphics: Intel integrated UHD Graphics GPU
Lenovo,"₹33,990","₹55,490",42% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹66,999","₹97,890",22% off,AMD Ryzen 3 Dual Core Processor,256 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹12,990","₹34,990",23% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹18,990","₹34,990",24% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
